tipo,threads,tempo_seq,tempo_conc,aceleracao,eficiencia
total,0,0.010822829,0.007637925,1.416985498,0
facil,0,0.005619638,0.004405856,1.275493090,0
medio,0,0.009171738,0.006561573,1.397795593,0
dificil,0,0.017626383,0.011914231,1.479439471,0
threads,1,0.006077054,0.005737385,1.059202745,105.920274490
threads,2,0.014775063,0.009176460,1.610104809,80.505240429
threads,3,0.053587317,0.042615771,1.257452719,41.915090619
