tipo,threads,tempo_seq,tempo_conc,aceleracao,eficiencia
total,0,0.044116686,0.026274758,1.679052022,0
facil,0,0.038217076,0.021651748,1.765080407,0
medio,0,0.037414210,0.024935837,1.500419230,0
dificil,0,0.056603636,0.032193146,1.758251152,0
threads,1,0.039813734,0.036589889,1.088107535,108.810753459
threads,2,0.022152971,0.014242629,1.555398987,77.769949369
threads,3,0.028850758,0.017011461,1.695960038,56.532001257
threads,4,0.046022040,0.025755703,1.786867935,44.671698373
threads,5,0.059081974,0.032830892,1.799584796,35.991695922
threads,6,0.097264563,0.070029573,1.388906981,23.148449681
threads,7,0.044061661,0.036957752,1.192217010,17.031671578
