tipo,threads,tempo_seq,tempo_conc,aceleracao,eficiencia
total,0,0.044116686,0.025801006,1.709882407,0
facil,0,0.038217076,0.021443443,1.782226707,0
medio,0,0.037414210,0.024841277,1.506130681,0
dificil,0,0.056603636,0.031080861,1.821173387,0
threads,1,0.039813734,0.036695015,1.084990274,108.499027416
threads,2,0.022152971,0.014059151,1.575697606,78.784880307
threads,3,0.028850758,0.016517116,1.746718860,58.223962006
threads,4,0.046022040,0.025185522,1.827321294,45.683032340
threads,5,0.059081974,0.032237475,1.832710942,36.654218843
threads,6,0.097264563,0.069887455,1.391731363,23.195522718
threads,7,0.044061661,0.036743732,1.199161291,17.130875583
