tipo,threads,tempo_seq,tempo_conc,aceleracao,eficiencia
total,0,0.160962661,0.161672354,0.995610303,0
facil,0,0.160962661,0.161672354,0.995610303,0
medio,0,0.000000000,0.000000000,-nan,0
dificil,0,0.000000000,0.000000000,-nan,0
threads,1,0.160962661,0.161672354,0.995610303,99.561030306
