tipo,threads,tempo_seq,tempo_conc,aceleracao,eficiencia
total,0,12.830367231,13.716421413,0.935401942,0
facil,0,12.830367231,13.716421413,0.935401942,0
medio,0,0.000000000,0.000000000,-nan,0
dificil,0,0.000000000,0.000000000,-nan,0
threads,1,12.830367231,13.716421413,0.935401942,93.540194229
