tipo,threads,tempo_seq,tempo_conc,aceleracao,eficiencia
total,0,0.044116686,0.028647162,1.540001983,0
facil,0,0.038217076,0.023195993,1.647572343,0
medio,0,0.037414210,0.027441704,1.363406926,0
dificil,0,0.056603636,0.035256897,1.605462762,0
threads,1,0.039813734,0.039806968,1.000169984,100.016998397
threads,2,0.022152971,0.016064161,1.379030731,68.951536538
threads,3,0.028850758,0.018878664,1.528220367,50.940678893
threads,4,0.046022040,0.028281460,1.627286595,40.682164868
threads,5,0.059081974,0.035852310,1.647926565,32.958531305
threads,6,0.097264563,0.072648939,1.338829782,22.313829698
threads,7,0.044061661,0.038253727,1.151826600,16.454665708
