tipo,threads,tempo_seq,tempo_conc,aceleracao,eficiencia
total,0,0.010822829,0.007581712,1.427491433,0
facil,0,0.005619638,0.004377294,1.283815679,0
medio,0,0.009171738,0.006631329,1.383092080,0
dificil,0,0.017626383,0.011706066,1.505747844,0
threads,1,0.006077054,0.005723614,1.061751305,106.175130450
threads,2,0.014775063,0.009090605,1.625311288,81.265564419
threads,3,0.053587317,0.039874792,1.343889576,44.796319216
