tipo,threads,tempo_seq,tempo_conc,aceleracao,eficiencia
total,0,0.010822829,0.007293563,1.483887889,0
facil,0,0.005619638,0.004159469,1.351047038,0
medio,0,0.009171738,0.006399233,1.433255753,0
dificil,0,0.017626383,0.011292625,1.560875647,0
threads,1,0.006077054,0.005496885,1.105545165,110.554516517
threads,2,0.014775063,0.008745962,1.689358290,84.467914512
threads,3,0.053587317,0.041190505,1.300962866,43.365428862
